userid,placeid,rating,food_rating,service_rating,latitude,longitude,smoker,drink_level,dress_preference,ambience,transport,hijos,birth_year,interest,religion,activity,color,weight,budget,height,rcuisine_x,rcuisine_y,rpayment,parking_lot,hours,days,marital_status_single,marital_status_widow,personality_hard-worker,personality_hunter-ostentatious,personality_thrifty-protector,family_activity_match,budget_service_score,dining_experience_score,location_score,cuisine_match,accessibility_score,social_dining_score,budget_numeric
u1077,135085,2,2,2,22.156469,-100.98554,False,social drinker,elegant,family,public,kids,1987,technology,catholic,student,blue,65.0,medium,1.71,mexican,fast_food,cash,public,00:00-00:00;,"mon, tue, wed, thu, fri, ",False,False,False,False,True,1,4,2.0,123.142009,0,3.0,0,2
u1077,135038,2,2,1,22.156469,-100.98554,False,social drinker,elegant,family,public,kids,1987,technology,catholic,student,blue,65.0,medium,1.71,mexican,unknown,cash,none,08:00-17:00;,"mon, tue, wed, thu, fri, ",False,False,False,False,True,1,2,1.5,123.142009,0,2.0,0,2
u1077,132825,2,2,2,22.156469,-100.98554,False,social drinker,elegant,family,public,kids,1987,technology,catholic,student,blue,65.0,medium,1.71,mexican,mexican,cash,none,09:00-12:00;,"mon, tue, wed, thu, fri, ",False,False,False,False,True,1,4,2.0,123.142009,1,2.0,0,2
u1077,135060,1,2,2,22.156469,-100.98554,False,social drinker,elegant,family,public,kids,1987,technology,catholic,student,blue,65.0,medium,1.71,mexican,seafood,cash,none,11:30-19:00;,"mon, tue, wed, thu, fri, ",False,False,False,False,True,1,4,2.0,123.142009,0,2.0,0,2
u1015,135071,0,0,0,22.12676,-100.905209,True,social drinker,informal,family,public,independent,1989,technology,catholic,student,black,87.0,medium,1.67,mexican,bar,cash,yes,13:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,0,0.0,123.031969,0,3.0,0,2
u1083,135034,2,2,2,22.13392,-101.028373,False,abstemious,,unknown,unknown,unknown,1981,none,none,unknown,yellow,40.0,medium,1.6,mexican,japanese,cash,none,13:30-23:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.162293,0,0.0,2,2
u1083,132723,1,1,1,22.13392,-101.028373,False,abstemious,,unknown,unknown,unknown,1981,none,none,unknown,yellow,40.0,medium,1.6,mexican,mexican,cash,public,06:30-15:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,2,1.0,123.162293,1,1.0,2,2
u1083,135046,2,2,1,22.13392,-101.028373,False,abstemious,,unknown,unknown,unknown,1981,none,none,unknown,yellow,40.0,medium,1.6,mexican,fast_food,cash,yes,08:30-21:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,2,1.5,123.162293,0,1.0,2,2
u1108,135075,2,2,2,22.143524,-100.987562,False,abstemious,informal,solitary,public,independent,1983,technology,catholic,student,blue,76.0,medium,1.81,cafe-coffee_shop,seafood,cash,yes,00:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,4,2.0,123.131086,0,3.0,3,2
u1108,132572,1,2,1,22.143524,-100.987562,False,abstemious,informal,solitary,public,independent,1983,technology,catholic,student,blue,76.0,medium,1.81,cafe-coffee_shop,cafeteria,cash,yes,00:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,2,1.5,123.131086,0,3.0,3,2
